GeoID,County,Year,Sector,avg_employment,total_wages,avg_wage_per_employee,avg_establishments,employment_growth_rate,wage_growth_rate
13001,"Appling, GA",2002,Accommodation and food services,357.0,3136976.0,8787.047619047618,26.0,,
13001,"Appling, GA",2003,Accommodation and food services,366.0,3335919.0,9114.532786885246,28.0,0.025210084033613356,0.06341871917413466
13001,"Appling, GA",2004,Accommodation and food services,356.0,3415031.0,9592.783707865168,29.0,-0.02732240437158473,0.02371520411616701
13001,"Appling, GA",2005,Accommodation and food services,367.0,3484897.0,9495.632152588556,26.0,0.030898876404494402,0.020458379440772223
13001,"Appling, GA",2006,Accommodation and food services,365.0,3498606.0,9585.22191780822,27.0,-0.00544959128065392,0.003933832190736286
13001,"Appling, GA",2007,Accommodation and food services,488.0,4533602.0,9290.168032786885,32.0,0.3369863013698631,0.2958309681055826
13001,"Appling, GA",2008,Accommodation and food services,505.0,4853521.0,9610.932673267327,35.0,0.0348360655737705,0.07056618556282612
13001,"Appling, GA",2009,Accommodation and food services,447.0,4986941.0,11156.467561521253,34.0,-0.11485148514851484,0.02748932166977336
13001,"Appling, GA",2010,Accommodation and food services,,,,,,
13001,"Appling, GA",2011,Accommodation and food services,,,,,,
13001,"Appling, GA",2012,Accommodation and food services,,,,,,
13001,"Appling, GA",2013,Accommodation and food services,,,,,,
13001,"Appling, GA",2014,Accommodation and food services,,,,,,
13001,"Appling, GA",2015,Accommodation and food services,,,,,,
13001,"Appling, GA",2016,Accommodation and food services,,,,,,
13001,"Appling, GA",2017,Accommodation and food services,,,,,,
13001,"Appling, GA",2019,Accommodation and food services,,,,,,
13001,"Appling, GA",2020,Accommodation and food services,,,,,,
13001,"Appling, GA",2021,Accommodation and food services,,,,,,
13001,"Appling, GA",2022,Accommodation and food services,,,,,,
13001,"Appling, GA",2023,Accommodation and food services,,,,,,
13001,"Appling, GA",2002,Administrative and support and waste management and remediation services,31.0,422490.0,13628.709677419354,8.0,,
13001,"Appling, GA",2003,Administrative and support and waste management and remediation services,40.0,482262.0,12056.55,9.0,0.29032258064516125,0.1414755378825534
13001,"Appling, GA",2004,Administrative and support and waste management and remediation services,181.0,3633344.0,20073.723756906078,12.0,3.5250000000000004,5.0
